iter	Passed	Remaining
805	1610	387
806	1612	385
807	1613	383
808	1616	381
809	1617	379
810	1619	377
811	1620	375
812	1621	373
813	1623	370
814	1624	368
815	1625	366
816	1626	364
817	1628	362
818	1629	360
819	1632	358
820	1633	356
821	1635	354
822	1636	351
823	1638	349
824	1639	347
825	1641	345
826	1643	343
827	1645	341
828	1647	339
829	1649	337
830	1650	335
831	1652	333
832	1653	331
833	1655	329
834	1656	327
835	1658	325
836	1659	323
837	1661	321
838	1662	319
839	1664	316
840	1666	315
841	1669	313
842	1671	311
843	1673	309
844	1674	307
845	1676	305
846	1678	303
847	1680	301
848	1682	299
849	1684	297
850	1688	295
851	1689	293
852	1691	291
853	1692	289
854	1694	287
855	1695	285
856	1696	283
857	1698	281
858	1699	278
859	1701	277
860	1703	274
861	1704	272
862	1706	270
863	1707	268
864	1708	266
865	1710	264
866	1711	262
867	1713	260
868	1715	258
869	1716	256
870	1718	254
871	1719	252
872	1721	250
873	1722	248
874	1724	246
875	1727	244
876	1734	243
877	1736	241
878	1739	239
879	1742	237
880	1746	235
881	1747	233
882	1749	231
883	1750	229
884	1751	227
885	1769	227
886	1771	225
887	1773	223
888	1775	221
889	1781	220
890	1782	218
891	1784	216
892	1785	213
893	1786	211
894	1788	209
895	1789	207
896	1791	205
897	1793	203
898	1794	201
899	1795	199
900	1797	197
901	1798	195
902	1799	193
903	1800	191
904	1801	189
905	1803	187
906	1805	185
907	1806	183
908	1808	181
909	1809	178
910	1811	176
911	1812	174
912	1813	172
913	1814	170
914	1816	168
915	1817	166
916	1819	164
917	1821	162
918	1823	160
919	1825	158
920	1826	156
921	1827	154
922	1828	152
923	1830	150
924	1832	148
925	1834	146
926	1835	144
927	1836	142
928	1838	140
929	1839	138
930	1840	136
931	1842	134
932	1843	132
933	1844	130
934	1846	128
935	1848	126
936	1849	124
937	1851	122
938	1852	120
939	1853	118
940	1855	116
941	1856	114
942	1857	112
943	1859	110
944	1860	108
945	1863	106
946	1864	104
947	1866	102
948	1867	100
949	1869	98
950	1870	96
951	1871	94
952	1873	92
953	1874	90
954	1876	88
955	1878	86
956	1879	84
957	1880	82
958	1882	80
959	1883	78
960	1884	76
961	1886	74
962	1888	72
963	1890	70
964	1892	68
965	1893	66
966	1895	64
967	1896	62
968	1897	60
969	1899	58
970	1901	56
971	1902	54
972	1904	52
973	1906	50
974	1907	48
975	1909	46
976	1910	44
977	1911	43
978	1913	41
979	1914	39
980	1917	37
981	1919	35
982	1921	33
983	1923	31
984	1924	29
985	1925	27
986	1927	25
987	1928	23
988	1929	21
989	1931	19
990	1933	17
991	1935	15
992	1937	13
993	1938	11
994	1940	9
995	1941	7
996	1942	5
997	1944	3
998	1945	1
999	1948	0
